03/8 03/9 03/10 03/11 03/12 03/13 03/14 03/15 03/16 03/17 03/18 03/19 03/20 03/21 03/22 03/23 03/24 03/25 03/26 03/27 03/28 03/29 03/30 03/31 04/1 04/2 04/3 04/4 04/5 04/6 04/7 
John D. Rockefeller	0 0 0 0 0 0 0 35293 18929 11286 7642 7908 8347 7535 6556 106523 7558 6530 0 0 0 0 0 0 0 4973 5219 5084 4146 4799 99387 117242 29946 0 0 0 0 0 0 0 0 0 0 0 0 0 06117 6099 5401 4744 5438 5545 4544 
LaVar Ball	0 0 0 0 0 0 0 113555 97654 103555 89630 39408 40811 40116 25436 20236 21145 22451 0 0 0 0 0 0 0 184 2 45969 52767 33573 43093 20418 81523 
Elizabeth Christ Trump	0 0 0 0 0 0 0 20541 10366 8736 5640 3846 2854 2016 1243 44817 2525 1105 0 0 0 0 0 0 0 695 768 1135 19447 96014 81150 48112 18504 0 0 0 0 0 0 0 0 0 0 0 0 0 0832 804 776 841 727 654 759 
Brahma chicken	0 0 0 0 0 0 0 38669 19360 17882 16836 20034 9136 7072 5543 88877 6096 3403 0 0 0 0 0 0 0 160 180 204 187 108496 179762 95967 32894 0 0 0 0 0 0 0 0 0 0 0 0 0 0169 196 170 212 205 156 204 
Colleen Wing	0 0 0 0 0 0 0 43969 36657 28949 27666 30553 25454 19740 15992 59772 16430 11496 0 0 0 0 0 0 0 1891 2209 33051 116276 125560 94642 62710 35753 0 0 0 0 0 0 0 0 0 0 0 0 0 02092 3210 1954 2264 2334 2156 2389 
Iron Fist (TV series)	0 0 0 0 0 0 0 119030 102365 85046 82501 93157 76551 58327 52424 157673 48023 45108 0 0 0 0 0 0 0 21723 25826 161445 339227 301909 234061 165599 93796 0 0 0 0 0 0 0 0 0 0 0 0 0 024783 32338 25947 24597 24583 26411 24326 
Iron Fist (comics)	0 0 0 0 0 0 0 135140 112512 91131 86076 92398 78177 60214 50572 173028 50625 37357 0 0 0 0 0 0 0 12262 13114 105788 318730 344811 271570 181567 107696 0 0 0 0 0 0 0 0 0 0 0 0 0 010808 15884 16186 17338 16805 16216 18361 
PXL-2000	0 0 0 0 0 0 0 106 56 52 43 75 67 360743 88910 408 2247 1987 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Jessica Henwick	0 0 0 0 0 0 0 45989 39745 31734 30830 36048 29949 22100 19437 57498 18679 15688 0 0 0 0 0 0 0 2922 4026 32126 105395 110343 85891 60117 36655 0 0 0 0 0 0 0 0 0 0 0 0 0 04065 6157 3618 3430 3323 3097 3991 
Blendo	0 0 0 0 0 0 0 474 372 348 326 1599 559 341 285 788 232 290 0 0 0 0 0 0 0 85298 3556 1342 1013 1658 1295 836 328 0 0 0 0 0 0 0 0 0 0 0 0 0 0195 144 142 151 245 529532 46710 
