03/15 03/16 03/17 03/18 03/19 03/20 03/21 03/22 03/23 03/24 03/25 03/26 03/27 03/28 03/29 03/30 03/31 
Chevy Chase	2740 6482 4330 3114 3431 3083 3643 1909 2540 2613 2968 3145 2549 231328
Jonathan Taylor Thomas	4058 3131 3468 3059 2975 5116 3494 1977 2893 3148 145706 106512 6395 3794
Ava Gardner	3076 3365 2636 4264 4394 3503 3005 2509 3198 3366 2804 3334 140992 5931
Brontë family	1566 1579 1624 2210 2293 2594 2068 1253 1856 2227 3285 3937 2959 164094
Steve Harwell	929 961 960 967 780 816 833 594 860 69032 7384 1073 641 602
Uday Hussein	2480 1520 1256 1334 1526 1630 1417 932 1236 1339 1339 1595 105324 11904
Paul Erdős	2110 1376 1615 1211 914 1069 1061 581 801 917 895 689 603 124519
Marcus Stroman	1304 1342 1571 14598 2774 1039 892 6376 10233 128763 19076 6094 2137 1654
List of National Basketball Association single-game scoring leaders	768 844 773 709 801 1001 887 612 804 837 707 122292 22243 7930
Dry county	434 471 447 464 697 641 788 410 16731 224161 6434 3187 1139 1005
Gunfoundry	3873816 674 155066 149 54 30
1993 Bishopsgate bombing	179 184 208 147 170 239 1141 663 1625 33986 37647 10178 3225 1352
Sib Hashian	487 593 568 526 658 515 426 325 469 31430 54338 14753 5003 3607
Pig Beach	532 522 493 623 633 613 630 399 541 54410 43622 1207 495 538
Gauss–Seidel method	506 552 510 357 428 535 517 377 528 201700 504 348 240 435
War bonnet	174 218 215 201 193 304 233 149 214 101917 4693 487 196 248
Molotov bread basket	97 91 91 89 93 95 116 75 99 30513 121828 916 426 212
Kuldeep Yadav	181 71 68 72 65 97 74 45 58 75 76 62613 16138 7253
Kuldeep Yadav	181 71 68 72 65 97 74 45 58 75 76 62613 16138 7253
Leonard v. Pepsico, Inc.	129 117 201 145 136 147 143 92 145 154 31724 42291 690 334
Meow (cat)	5467359 74 83 211756 4797 2123
